1,155,52.87
2,175,59.70
3,153,52.19
4,166,56.63
5,106,36.16
6,169,57.65
7,154,52.53
8,128,43.66
Forno LIGADOForno LIGADOForno LIGADOForno LIGADOForno LIGADO9,129,44.01
Forno LIGADOForno LIGADOForno LIGADO10,109,37.18
11,99,33.77
12,144,49.12
13,109,37.18
14,110,37.52
15,110,37.52
16,112,38.21
17,151,51.51
18,129,44.01
19,106,36.16
20,77,26.27
21,59,20.13
22,144,49.12
23,115,39.23
24,192,65.50
25,107,36.50
26,150,51.17
27,112,38.21
28,124,42.30
29,155,52.87
30,118,40.25
31,151,51.51
32,151,51.51
33,145,49.46
34,129,44.01
35,147,50.15
36,155,52.87
37,125,42.64
38,144,49.12
39,157,53.56
40,151,51.51
41,128,43.66
42,195,66.52
43,142,48.44
44,128,43.66
45,154,52.53
46,139,47.42
47,171,58.33
48,133,45.37
49,144,49.12
50,138,47.08
51,149,50.83
52,177,60.38
53,164,55.94
54,157,53.56
55,180,61.40
56,164,55.94
57,144,49.12
58,128,43.66
59,115,39.23
60,176,60.04
61,160,54.58
62,163,55.60
63,113,38.55
64,170,57.99
65,144,49.12
66,157,53.56
67,176,60.04
68,176,60.04
69,180,61.40
70,181,61.74
71,195,66.52
72,163,55.60
73,135,46.05
74,132,45.03
75,152,51.85
76,141,48.10
77,173,59.01
78,171,58.33
79,144,49.12
80,176,60.04
81,148,50.49
82,151,51.51
83,167,56.97
84,178,60.72
85,180,61.40
86,223,76.07
87,194,66.18
88,214,73.00
89,149,50.83
90,143,48.78
91,170,57.99
92,123,41.96
93,176,60.04
94,160,54.58
95,188,64.13
96,111,37.86
97,144,49.12
98,127,43.32
99,189,64.47
100,158,53.90
101,184,62.77
102,215,73.34
103,150,51.17
104,205,69.93
105,165,56.29
106,194,66.18
107,171,58.33
108,183,62.43
109,159,54.24
110,178,60.72
111,167,56.97
112,203,69.25
113,206,70.27
114,184,62.77
115,196,66.86
116,176,60.04
117,213,72.66
118,230,78.46
119,176,60.04
120,176,60.04
121,185,63.11
122,207,70.61
123,168,57.31
124,182,62.08
125,209,71.30
126,161,54.92
127,147,50.15
128,188,64.13
129,177,60.38
130,240,81.87
131,175,59.70
132,201,68.57
133,216,73.68
134,213,72.66
135,215,73.34
136,234,79.82
137,206,70.27
138,219,74.71
139,175,59.70
140,221,75.39
141,162,55.26
142,199,67.88
143,203,69.25
144,240,81.87
145,232,79.14
146,192,65.50
147,214,73.00
148,185,63.11
149,238,81.19
150,169,57.65
151,186,63.45
152,240,81.87
153,219,74.71
154,192,65.50
155,229,78.12
156,253,86.30
157,224,76.41
158,214,73.00
159,231,78.80
160,190,64.81
161,224,76.41
162,210,71.64
163,178,60.72
164,224,76.41
165,240,81.87
166,254,86.65
167,253,86.30
168,198,67.54
169,238,81.19
170,224,76.41
171,192,65.50
172,239,81.53
173,179,61.06
174,241,82.21
175,226,77.09
176,245,83.58
177,272,92.79
